id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
458	total publication	0.9365	0.0778	2	95	268	11	2024.0909
459	tourism	-0.6405	0.0478	1	133	664	56	2024.0179
460	traditional chinese medicine	1.2145	0.1879	2	83	355	10	2024.4
461	training	0.154	-0.6487	4	209	989	42	2024.0238
462	transformation	-0.6806	-0.1119	1	228	755	29	2024.1034
463	transition	-0.6708	0.2388	1	186	535	27	2024.0741
464	transparency	-0.7622	-0.0235	1	133	317	16	2024.0625
465	transportation	-0.8765	0.3534	1	118	381	16	2024.375
466	treatment	0.7148	0.1431	2	351	3683	174	2024.0575
467	trust	-0.7	-0.0237	1	169	585	32	2024.1875
468	uncertainty	-0.8985	-0.0203	1	135	492	26	2024
469	united state	0.9946	-0.0053	2	271	1289	55	2024.0364
470	university	0.7689	-0.0172	2	412	5427	242	2024.1033
471	upward trend	0.5557	0.2951	2	211	627	25	2024.08
472	usa	0.5991	-0.0681	2	369	2352	110	2024.0909
473	user	-0.7921	-0.2554	1	141	400	15	2024
474	valuable reference	0.5913	0.2987	2	124	289	12	2024
475	value	-0.5868	-0.1311	1	286	1534	61	2024.0656
476	variable	-0.3251	-0.305	4	188	675	31	2024.0323
477	view	-0.4011	-0.1087	1	229	700	35	2024.0857
478	virtual reality	-0.5744	-0.45	1	116	392	25	2024.08
479	visual analysis	0.8135	0.0598	2	266	1216	55	2024.0909
480	visualization analysis	0.6299	0.0226	2	224	794	35	2024.1714
481	wastewater	0.2723	0.6986	3	111	603	28	2024
482	wastewater treatment	0.139	0.8173	3	92	318	18	2024
483	water	-0.3334	0.6572	3	183	734	42	2024
484	water quality	-0.4012	0.7042	3	93	313	12	2024
485	water resource	-0.3867	0.6128	3	109	300	16	2024
486	way	-0.4862	-0.0473	1	295	1390	60	2024.0167
487	wide range	-0.1437	0.234	3	120	237	13	2024
488	woman	-0.0763	-0.3655	4	158	598	34	2024.1471
489	word	0.5054	0.2105	2	185	547	28	2024.0714
490	workplace	-1.3173	-0.3939	1	52	389	11	2024
491	wos database	0.1768	0.4101	3	143	429	18	2024.0556
492	woscc	1.1972	0.1551	2	224	1064	42	2024.0476
493	wound healing	0.9183	0.4253	3	53	162	10	2024.1
